word,score
사랑스레,2
사랑으로,2
사랑을 받는,2
사랑을 받아,2
사랑의,2
사랑의 마음,2
사랑이 담긴,2
사랑이다,2
사랑하거나,2
사랑하거나 끌리어서,2
사랑하고,2
사랑하고 소중히,2
사랑하고 좋아함,2
사랑하고 즐기는,2
사랑하고 칭찬하다,2
사랑하는,2
사랑하는 마음,2
사랑하는 사람,2
사랑하다,2
사랑하여,2
사랑함,2
사랑해,2
사리에 맞게,2
사리에 맞고,2
사리에 밝은,2
사리에 밝음,2
사모,2
사모하다,2
사모하여,2
사모하여 동경함,2
사모함,2
사실을 긍정적으로,2
산뜻하거나,2
산뜻하게,2
산뜻하게 느껴지는,2
산뜻하게 생생히,2
산뜻하게 싱싱히,2
산뜻하고,2
산뜻하고 뚜렷하여,2
산뜻하고 부드러운,2
산뜻하다,2
살림이 넉넉한,2
살아가는 지혜를,2
상냥하게,2
상냥하게 행동하는,2
상냥하게 행동하다,2
상냥하고,2
상냥하고 너그러운,2
상냥하고 너그럽다,2
상냥하고 보드라운,2
상냥하고 보드랍다,2
상냥하고 부드러운,2
상냥하고 부드럽게,2
상냥하고 부드럽다,2
상냥하다,2
상냥하면서,2
상냥하면서 활발하다,2
상냥하면서 활발한,2
상냥한,2
상냥함,2
상쾌하게,2
상쾌하다,2
상쾌한,2
상쾌한 느낌,2
상쾌한 마음으로,2
상쾌한 몸의,2
상쾌할,2
상쾌할 때,2
상쾌히,2
새로운 접근 방식,2
생김새가 훤하고,2
생활이 즐겁고,2
생활이 풍요로워지다,2
서글서글한,2
서글서글한 데가,2
서로 정답고,2
서로 정답다,2
선하다,2
선행을,2
선행을 베푼,2
선호하는,2
선호하다,2
성격이 너그럽고,2
성격이 온화하고,2
성공,2
성공적,2
성공적이다,2
성공하다,2
성공하여,2
성공한,2
성글,2
성글거리다,2
성글고,2
성글고 곱다,2
성글대다,2
성글벙글,2
성글벙글거리다,2
성글벙글대다,2
성글벙글하다,2
성글성글,2
성글성글하다,2
성글하다,2
성대하다,2
성대한,2
성숙한,2
성실한 마음이,2
성의있다,2
성취함을,2
성품이 상냥하고,2
성품이 좋은,2
성품이 착하다,2
세련되고,2
세련되고 깔끔해지다,2
세련되고 아름다움,2
세련되다,2
세련된,2
세련된 데서,2
소담스러운,2
소담스러운 데가,2
소리가 맑고,2
소리가 맑고 은은하게,2
소문난 명성,2
소중하게,2
소중하게 여겨,2
소중하다,2
소중한,2
소중히,2
소중히 대하다,2
소중히 여기거나,2
소중히 여기고,2
소중히 여기는,2
소중히 여기다,2
소중히 여김,2
속이 깊다,2
속이 시원하고,2
솔직하다,2
솔직한,2
솜씨가 깨끗하고,2
